step,name,x,y
0,Sun,0.0186311,0
0,Earth,1.496e+11,2.978e+07
0,Mars,2.279e+11,2.4077e+07
1,Sun,0.0558932,3.63207e-06
1,Earth,1.496e+11,5.956e+07
1,Mars,2.279e+11,4.8154e+07
2,Sun,0.111786,1.45283e-05
2,Earth,1.496e+11,8.934e+07
2,Mars,2.279e+11,7.2231e+07
3,Sun,0.186311,3.63207e-05
3,Earth,1.496e+11,1.1912e+08
3,Mars,2.279e+11,9.6308e+07
4,Sun,0.279466,7.26414e-05
4,Earth,1.496e+11,1.489e+08
4,Mars,2.279e+11,1.20385e+08
5,Sun,0.391253,0.000127123
5,Earth,1.496e+11,1.7868e+08
5,Mars,2.279e+11,1.44462e+08
6,Sun,0.52167,0.000203396
6,Earth,1.496e+11,2.0846e+08
6,Mars,2.279e+11,1.68539e+08
7,Sun,0.670719,0.000305094
7,Earth,1.496e+11,2.3824e+08
7,Mars,2.279e+11,1.92616e+08
8,Sun,0.838398,0.000435849
8,Earth,1.496e+11,2.6802e+08
8,Mars,2.279e+11,2.16693e+08
9,Sun,1.02471,0.000599292
9,Earth,1.496e+11,2.978e+08
9,Mars,2.279e+11,2.4077e+08
10,Sun,1.22965,0.000799056
10,Earth,1.496e+11,3.2758e+08
10,Mars,2.279e+11,2.64847e+08
11,Sun,1.45322,0.00103877
11,Earth,1.496e+11,3.5736e+08
11,Mars,2.279e+11,2.88924e+08
12,Sun,1.69543,0.00132207
12,Earth,1.49599e+11,3.8714e+08
12,Mars,2.279e+11,3.13001e+08
13,Sun,1.95626,0.00165259
13,Earth,1.49599e+11,4.16919e+08
13,Mars,2.279e+11,3.37078e+08
14,Sun,2.23573,0.00203396
14,Earth,1.49599e+11,4.46699e+08
14,Mars,2.279e+11,3.61155e+08
15,Sun,2.53382,0.00246981
15,Earth,1.49599e+11,4.76479e+08
15,Mars,2.279e+11,3.85232e+08
16,Sun,2.85055,0.00296377
16,Earth,1.49599e+11,5.06259e+08
16,Mars,2.279e+11,4.09309e+08
17,Sun,3.18591,0.00351948
17,Earth,1.49599e+11,5.36039e+08
17,Mars,2.279e+11,4.33386e+08
18,Sun,3.5399,0.00414056
18,Earth,1.49599e+11,5.65819e+08
18,Mars,2.279e+11,4.57463e+08
19,Sun,3.91252,0.00483065
19,Earth,1.49599e+11,5.95598e+08
19,Mars,2.27899e+11,4.8154e+08
20,Sun,4.30377,0.00559339
20,Earth,1.49599e+11,6.25378e+08
20,Mars,2.27899e+11,5.05617e+08
21,Sun,4.71366,0.0064324
21,Earth,1.49598e+11,6.55158e+08
21,Mars,2.27899e+11,5.29694e+08
22,Sun,5.14217,0.00735131
22,Earth,1.49598e+11,6.84938e+08
22,Mars,2.27899e+11,5.5377e+08
23,Sun,5.58931,0.00835376
23,Earth,1.49598e+11,7.14717e+08
23,Mars,2.27899e+11,5.77847e+08
24,Sun,6.05509,0.00944338
24,Earth,1.49598e+11,7.44497e+08
24,Mars,2.27899e+11,6.01924e+08
25,Sun,6.5395,0.0106238
25,Earth,1.49598e+11,7.74277e+08
25,Mars,2.27899e+11,6.26001e+08
26,Sun,7.04253,0.0118987
26,Earth,1.49598e+11,8.04056e+08
26,Mars,2.27899e+11,6.50078e+08
27,Sun,7.5642,0.0132716
27,Earth,1.49598e+11,8.33836e+08
27,Mars,2.27899e+11,6.74155e+08
28,Sun,8.1045,0.0147462
28,Earth,1.49597e+11,8.63615e+08
28,Mars,2.27899e+11,6.98232e+08
29,Sun,8.66343,0.0163261
29,Earth,1.49597e+11,8.93395e+08
29,Mars,2.27899e+11,7.22309e+08
30,Sun,9.24099,0.0180151
30,Earth,1.49597e+11,9.23174e+08
30,Mars,2.27899e+11,7.46386e+08
31,Sun,9.83718,0.0198166
31,Earth,1.49597e+11,9.52954e+08
31,Mars,2.27899e+11,7.70463e+08
32,Sun,10.452,0.0217343
32,Earth,1.49597e+11,9.82733e+08
32,Mars,2.27899e+11,7.94539e+08
33,Sun,11.0855,0.0237719
33,Earth,1.49596e+11,1.01251e+09
33,Mars,2.27898e+11,8.18616e+08
34,Sun,11.7375,0.025933
34,Earth,1.49596e+11,1.04229e+09
34,Mars,2.27898e+11,8.42693e+08
35,Sun,12.4083,0.0282212
35,Earth,1.49596e+11,1.07207e+09
35,Mars,2.27898e+11,8.6677e+08
36,Sun,13.0976,0.0306401
36,Earth,1.49596e+11,1.10185e+09
36,Mars,2.27898e+11,8.90847e+08
37,Sun,13.8056,0.0331934
37,Earth,1.49596e+11,1.13163e+09
37,Mars,2.27898e+11,9.14924e+08
38,Sun,14.5322,0.0358848
38,Earth,1.49595e+11,1.16141e+09
38,Mars,2.27898e+11,9.39e+08
39,Sun,15.2774,0.0387178
39,Earth,1.49595e+11,1.19119e+09
39,Mars,2.27898e+11,9.63077e+08
40,Sun,16.0413,0.0416961
40,Earth,1.49595e+11,1.22097e+09
40,Mars,2.27898e+11,9.87154e+08
41,Sun,16.8238,0.0448233
41,Earth,1.49595e+11,1.25075e+09
41,Mars,2.27898e+11,1.01123e+09
42,Sun,17.6249,0.048103
42,Earth,1.49594e+11,1.28052e+09
42,Mars,2.27898e+11,1.03531e+09
43,Sun,18.4447,0.051539
43,Earth,1.49594e+11,1.3103e+09
43,Mars,2.27897e+11,1.05938e+09
44,Sun,19.2831,0.0551347
44,Earth,1.49594e+11,1.34008e+09
44,Mars,2.27897e+11,1.08346e+09
45,Sun,20.1401,0.0588939
45,Earth,1.49594e+11,1.36986e+09
45,Mars,2.27897e+11,1.10754e+09
46,Sun,21.0157,0.0628201
46,Earth,1.49593e+11,1.39964e+09
46,Mars,2.27897e+11,1.13161e+09
47,Sun,21.91,0.0669171
47,Earth,1.49593e+11,1.42942e+09
47,Mars,2.27897e+11,1.15569e+09
48,Sun,22.8229,0.0711884
48,Earth,1.49593e+11,1.4592e+09
48,Mars,2.27897e+11,1.17977e+09
49,Sun,23.7545,0.0756376
49,Earth,1.49592e+11,1.48898e+09
49,Mars,2.27897e+11,1.20384e+09
50,Sun,24.7046,0.0802685
50,Earth,1.49592e+11,1.51875e+09
50,Mars,2.27897e+11,1.22792e+09
51,Sun,25.6734,0.0850846
51,Earth,1.49592e+11,1.54853e+09
51,Mars,2.27896e+11,1.252e+09
52,Sun,26.6609,0.0900895
52,Earth,1.49592e+11,1.57831e+09
52,Mars,2.27896e+11,1.27607e+09
53,Sun,27.6669,0.095287
53,Earth,1.49591e+11,1.60809e+09
53,Mars,2.27896e+11,1.30015e+09
54,Sun,28.6916,0.100681
54,Earth,1.49591e+11,1.63787e+09
54,Mars,2.27896e+11,1.32423e+09
55,Sun,29.7349,0.106274
55,Earth,1.49591e+11,1.66765e+09
55,Mars,2.27896e+11,1.3483e+09
56,Sun,30.7969,0.112071
56,Earth,1.4959e+11,1.69742e+09
56,Mars,2.27896e+11,1.37238e+09
57,Sun,31.8775,0.118074
57,Earth,1.4959e+11,1.7272e+09
57,Mars,2.27896e+11,1.39646e+09
58,Sun,32.9767,0.124289
58,Earth,1.4959e+11,1.75698e+09
58,Mars,2.27895e+11,1.42053e+09
59,Sun,34.0945,0.130718
59,Earth,1.49589e+11,1.78676e+09
59,Mars,2.27895e+11,1.44461e+09
60,Sun,35.231,0.137364
60,Earth,1.49589e+11,1.81654e+09
60,Mars,2.27895e+11,1.46869e+09
61,Sun,36.3861,0.144232
61,Earth,1.49588e+11,1.84631e+09
61,Mars,2.27895e+11,1.49276e+09
62,Sun,37.5598,0.151326
62,Earth,1.49588e+11,1.87609e+09
62,Mars,2.27895e+11,1.51684e+09
63,Sun,38.7522,0.158648
63,Earth,1.49588e+11,1.90587e+09
63,Mars,2.27895e+11,1.54092e+09
64,Sun,39.9632,0.166203
64,Earth,1.49587e+11,1.93565e+09
64,Mars,2.27895e+11,1.56499e+09
65,Sun,41.1928,0.173993
65,Earth,1.49587e+11,1.96542e+09
65,Mars,2.27894e+11,1.58907e+09
66,Sun,42.441,0.182024
66,Earth,1.49586e+11,1.9952e+09
66,Mars,2.27894e+11,1.61315e+09
67,Sun,43.7079,0.190297
67,Earth,1.49586e+11,2.02498e+09
67,Mars,2.27894e+11,1.63722e+09
68,Sun,44.9934,0.198818
68,Earth,1.49586e+11,2.05476e+09
68,Mars,2.27894e+11,1.6613e+09
69,Sun,46.2976,0.207589
69,Earth,1.49585e+11,2.08453e+09
69,Mars,2.27894e+11,1.68537e+09
70,Sun,47.6203,0.216615
70,Earth,1.49585e+11,2.11431e+09
70,Mars,2.27893e+11,1.70945e+09
71,Sun,48.9617,0.225899
71,Earth,1.49584e+11,2.14409e+09
71,Mars,2.27893e+11,1.73353e+09
72,Sun,50.3217,0.235443
72,Earth,1.49584e+11,2.17386e+09
72,Mars,2.27893e+11,1.7576e+09
73,Sun,51.7004,0.245254
73,Earth,1.49584e+11,2.20364e+09
73,Mars,2.27893e+11,1.78168e+09
74,Sun,53.0977,0.255332
74,Earth,1.49583e+11,2.23342e+09
74,Mars,2.27893e+11,1.80576e+09
75,Sun,54.5136,0.265684
75,Earth,1.49583e+11,2.26319e+09
75,Mars,2.27893e+11,1.82983e+09
76,Sun,55.9481,0.276311
76,Earth,1.49582e+11,2.29297e+09
76,Mars,2.27892e+11,1.85391e+09
77,Sun,57.4013,0.287218
77,Earth,1.49582e+11,2.32275e+09
77,Mars,2.27892e+11,1.87798e+09
78,Sun,58.8731,0.298408
78,Earth,1.49581e+11,2.35252e+09
78,Mars,2.27892e+11,1.90206e+09
79,Sun,60.3635,0.309885
79,Earth,1.49581e+11,2.3823e+09
79,Mars,2.27892e+11,1.92614e+09
80,Sun,61.8726,0.321653
80,Earth,1.4958e+11,2.41208e+09
80,Mars,2.27892e+11,1.95021e+09
81,Sun,63.4003,0.333715
81,Earth,1.4958e+11,2.44185e+09
81,Mars,2.27891e+11,1.97429e+09
82,Sun,64.9466,0.346075
82,Earth,1.49579e+11,2.47163e+09
82,Mars,2.27891e+11,1.99837e+09
83,Sun,66.5115,0.358736
83,Earth,1.49579e+11,2.5014e+09
83,Mars,2.27891e+11,2.02244e+09
84,Sun,68.0951,0.371702
84,Earth,1.49578e+11,2.53118e+09
84,Mars,2.27891e+11,2.04652e+09
85,Sun,69.6973,0.384977
85,Earth,1.49578e+11,2.56095e+09
85,Mars,2.2789e+11,2.07059e+09
86,Sun,71.3181,0.398564
86,Earth,1.49577e+11,2.59073e+09
86,Mars,2.2789e+11,2.09467e+09
87,Sun,72.9576,0.412467
87,Earth,1.49577e+11,2.62051e+09
87,Mars,2.2789e+11,2.11875e+09
88,Sun,74.6157,0.42669
88,Earth,1.49576e+11,2.65028e+09
88,Mars,2.2789e+11,2.14282e+09
89,Sun,76.2924,0.441236
89,Earth,1.49576e+11,2.68006e+09
